"domain","name","type","title","title_t","help","help_t"
"workflow-form","metaModel","documentation",,,,
"workflow-form","maxNodeCounter","documentation",,,,
"workflow-form","node","documentation",,,,
"workflow-form","sequence","documentation",,,,
"workflow-form","condition","documentation",,,,
"workflow-form","active","documentation",,,,
"workflow-form","archived","documentation",,,,
"workflow-form","description","documentation",,,,
"workflow-form","bpmn","documentation",,,,
"workflow-form","xmlData","documentation",,,,
"instance-counter-form","node","documentation",,,,
"instance-counter-form","counter","documentation",,,,
"transition-form","sequence","documentation",,,,
"transition-form","name","documentation",,,,
"transition-form","startNode","documentation",,,,
"transition-form","nextNode","documentation",,,,
"transition-form","role","documentation",,,,
"transition-form","signal","documentation",,,,
"transition-form","condition","documentation",,,,
"transition-form","description","documentation",,,,
"instance-history-form","creationDate","documentation",,,,
"instance-history-form","creationUser","documentation",,,,
"instance-history-form","transition","documentation",,,,
"instance-form","workflow","documentation",,,,
"instance-form","workflow.metaModel.name","documentation",,,,
"instance-form","metaModelId","documentation",,,,
"instance-form","diagram","documentation",,,,
"instance-form","nodes","documentation",,,,
"instance-form","waitingNodes","documentation",,,,
"instance-form","executedNodes","documentation",,,,
"instance-form","creationDate","documentation",,,,
"instance-form","creationUser","documentation",,,,
"instance-form","histories","documentation",,,,
"instance-form","counters","documentation",,,,
"waiting-node-form","node","documentation",,,,
"waiting-node-form","transitions","documentation",,,,
"node-form","type","documentation",,,,
"node-form","name","documentation",,,,
"node-form","action","documentation",,,,
"node-form","logicOperator","documentation",,,,
"node-form","startTransitions","documentation",,,,
"node-form","endTransitions","documentation",,,,
"node-form","description","documentation",,,,
"end-transition-form","sequence","documentation",,,,
"end-transition-form","name","documentation",,,,
"end-transition-form","nextNode","documentation",,,,
"end-transition-form","role","documentation",,,,
"end-transition-form","signal","documentation",,,,
"end-transition-form","condition","documentation",,,,
"end-transition-form","description","documentation",,,,
"start-transition-form","sequence","documentation",,,,
"start-transition-form","name","documentation",,,,
"start-transition-form","startNode","documentation",,,,
"start-transition-form","role","documentation",,,,
"start-transition-form","signal","documentation",,,,
"start-transition-form","condition","documentation",,,,
"start-transition-form","description","documentation",,,,
